source,target,weight
2,197,0.4661264980331089
3,4,0.1674216254194429
3,9,0.24078990907859182
3,11,0.1148422090706872
3,12,0.28192808932989566
3,13,0.15229511876206736
3,16,0.13887426910243997
3,17,0.29456445306510654
3,18,0.1246131351618983
3,20,0.8185997345780078
3,21,0.13670644622130845
3,22,0.13707258578069728
3,26,0.1152044534857131
3,27,0.3324024725846798
3,30,0.13470121609031357
3,31,0.11232178209073694
3,38,0.6529512270927578
3,43,0.2105976122332065
3,44,0.3856454850742773
3,45,0.18697914484432074
3,49,0.25795521262191073
3,51,0.15877739950999595
3,53,0.27321029380121803
3,54,0.12153289597308381
3,56,0.4167445169207246
3,64,0.18738034840168072
3,65,0.10921627814864399
3,67,0.18740817615058272
3,70,0.18233730040696644
3,72,0.10581028067467281
3,73,0.17476131669783626
3,74,0.224173390582676
3,75,0.13861682810594225
3,76,0.11268555226628041
3,77,0.13373053504354274
3,80,0.34244037054282883
3,82,0.14331078937646813
3,83,0.1394408993334877
3,89,0.6330278740493304
3,90,0.11604107040432436
3,92,0.17844252881795364
3,93,0.18087394883735414
3,95,0.14980541625941649
3,99,0.10994842407231004
3,102,0.5564853392112196
3,104,0.18408364775573596
3,105,0.1883477673388389
3,107,0.3603781679991355
3,110,0.23788234837389605
3,112,0.10963301770850059
3,113,0.10597844623547577
3,115,0.18937362010987385
3,118,0.11151073849836188
3,119,0.11118434347936866
3,121,0.12837895872066774
3,123,0.13663653251834953
3,124,0.14438945110456525
3,125,0.15584578639302166
3,131,0.3636584177332344
3,133,0.15724560042516755
3,137,0.47977674502827006
3,138,0.19997145718759626
3,139,0.2062248222657839
3,142,0.14713836957954932
3,144,0.16619541865432075
3,145,0.11706706932168259
3,147,0.3385205213977364
3,148,0.15586110373744663
3,151,0.22460049982675603
3,153,0.14171968612569982
3,158,0.19453350683244228
3,162,0.14778800856289678
3,163,0.1087617149445169
3,164,0.21076050374571578
3,165,0.29077392925328116
3,166,0.10424461577393686
3,171,0.33808275917584646
3,172,0.3942222604910321
3,173,0.10945475502501259
3,176,0.20215253962856886
3,177,0.12443161719479881
3,179,0.15122241905147643
3,181,0.2111982623520983
3,182,0.12075568200259687
3,183,0.15278262754627328
3,184,0.30737959487484956
3,188,0.37964363675518353
3,190,0.2794839409798757
3,193,0.19041640884066013
3,194,0.11218115647502731
3,197,0.12952796533274644
4,5,0.36668451281317366
4,6,0.3366810697065548
4,7,0.23607572300219307
4,8,0.30311102164032544
4,11,0.365470763738289
4,12,0.29004342155455265
4,13,0.12740354373873325
4,14,0.22182010047039818
4,15,0.3336947026134572
4,16,0.25714525655368725
4,17,0.40547661847835414
4,19,0.4795170589341254
4,20,0.2366275046584602
4,21,0.19353725754420692
4,22,0.29341328543553774
4,23,0.2749871934894564
4,24,0.20120022439305807
4,26,0.44295278069268096
4,27,0.5019530167967332
4,28,0.1481624816055098
4,29,0.3151360331412711
4,31,0.3254551828419521
4,32,0.20758899991326243
4,34,0.2646956550170699
4,35,0.12766345117936886
4,36,0.31120688117208295
4,38,0.275467490989724
4,39,0.2516475125620167
4,42,0.18679341507076208
4,43,0.23480654351002136
4,44,0.3950052006857131
4,45,0.1614256468057905
4,46,0.12108211854127296
4,48,0.3953641724975528
4,52,0.2960196687144616
4,53,0.4298547169122289
4,54,0.3017936177336746
4,56,0.2458351050213733
4,58,0.37563130914966175
4,59,0.21937511543039231
4,60,0.12918983507170723
4,61,0.23455454336518183
4,62,0.4007369500269587
4,63,0.6047188646874533
4,64,0.2896056222721257
4,65,0.14133557916997405
4,67,0.25943561061692016
4,68,0.25003168639240336
4,71,0.2612237866641522
4,73,0.2511199249916191
4,74,0.7995269842274928
4,75,0.16957283527186517
4,77,0.5525641359515847
4,78,0.23357680131566785
4,79,0.52826915494032
4,80,0.15370517957752733
4,81,0.1562416232489043
4,82,0.1502407564777108
4,83,0.3671031488705348
4,86,0.1536609631819028
4,87,0.2742333934884795
4,88,0.35318891391768475
4,89,0.1972366015183689
4,91,0.33839658768763936
4,92,0.15875749912603487
4,93,0.22363403065983467
4,94,0.3938451413561078
4,95,0.3621435016064665
4,96,0.15732161522769722
4,97,0.10653639117608538
4,98,0.22407864660233195
4,100,0.10763830046869682
4,101,0.1768789373458802
4,102,0.14850801396318442
4,103,0.286125963713147
4,104,0.5176032095596962
4,105,0.13182453074163483
4,106,0.21899581473516622
4,109,0.35152427694463567
4,112,0.3477492019029192
4,113,0.41254230653745816
4,114,0.2605526244515845
4,115,0.19594297472156436
4,116,0.26350117871356016
4,117,0.32869374417061137
4,118,0.16762659440116148
4,119,0.12296775416018235
4,121,0.5834247782095822
4,123,0.4169118670472679
4,124,0.19757406396801921
4,125,0.32457430677417043
4,126,0.31021468597942387
4,129,0.15726663543393601
4,130,0.290480777796372
4,131,0.12103462801474756
4,132,0.3016601020082403
4,134,0.458382659708771
4,135,0.16821533051942886
4,136,0.25736337225339273
4,137,0.20211134851628298
4,140,0.2515229090609741
4,141,0.28907562029182476
4,144,0.28017885793239494
4,145,0.5144422972774394
4,147,0.2156528822684295
4,148,0.40699487326387057
4,149,0.19467691211903976
4,150,0.3170631679963455
4,151,0.16269042323660932
4,152,0.18280283997570715
4,154,0.36502589843918426
4,155,0.22117574366371087
4,156,0.13244482013229
4,157,0.23356690325012155
4,159,0.2946222925084679
4,160,0.14405979025216825
4,161,0.6029443283298848
4,162,0.21842046376457938
4,163,0.14822237493425333
4,164,0.24617772546252203
4,165,0.275002859272051
4,166,0.40513080896887893
4,168,0.3310922475080311
4,169,0.29482455883009656
4,170,0.21096685149303043
4,171,0.13110661362220355
4,172,0.3807910957507735
4,173,0.11626515922881946
4,174,0.1645486415226636
4,175,0.2739957444129622
4,176,0.16898374830760848
4,177,0.30255040230259517
4,178,0.3500979513825809
4,180,0.2493323178493408
4,181,0.11116480077613071
4,182,0.2791428237686321
4,183,0.20847509672313708
4,184,0.1866636401191897
4,185,0.40005905661374097
4,186,0.2710333809226378
4,187,0.12481352340993215
4,188,0.3427226302544909
4,189,0.3318647655839345
4,190,0.20767180948863087
4,192,0.27835347931947885
4,193,0.15416494126654548
4,194,0.6852400500000134
4,197,0.2528356321281468
5,6,0.10568136066173286
5,7,0.14779227905186465
5,8,0.19569289771795134
5,9,0.13405605439985527
5,10,0.11650844289060944
5,11,0.2948474413979804
5,12,0.2819326106581254
5,15,0.2968754704264632
5,16,0.10419633949654403
5,19,0.11794799183005725
5,20,0.1373476971779165
5,21,0.23260030568676743
5,22,0.14213256499456337
5,23,0.38661284532864165
5,26,0.13055995454331673
5,27,0.23626800615511753
5,29,0.16363462319529007
5,31,0.23201814677544855
5,32,0.15775369259836658
5,34,0.17011641627068885
5,36,0.5356561089110593
5,38,0.22728650466532763
5,39,0.1250329439219013
5,44,0.19292066103246946
5,47,0.16534165195861245
5,48,0.1835791512195149
5,53,0.19333039364890722
5,54,0.5826454870794728
5,57,0.1134903163583342
5,58,0.15587951713692125
5,59,0.30242878838972603
5,61,0.13401947866146258
5,62,0.2770655377331921
5,63,0.17930287331070377
5,67,0.13480474353446972
5,71,0.20570939314448994
5,73,0.3533003363208664
5,74,0.25111220889537905
5,77,0.18934063853476224
5,78,0.21572991180272597
5,79,0.1564452893086431
5,80,0.27828286382736767
5,81,0.11197968980126116
5,88,0.15553278493928913
5,89,0.13215506617027686
5,91,0.4157299230617053
5,92,0.10624405946792762
5,93,0.16807147503149816
5,94,0.13427523596719512
5,97,0.10692757608209161
5,98,0.1388657313716998
5,104,0.393770720033196
5,105,0.15153328893132084
5,111,0.10941856245059474
5,112,0.1328148494736186
5,113,0.3733283088448318
5,114,0.1523767023323183
5,115,0.14330888355496008
5,116,0.11906441297413772
5,117,0.1965947397187054
5,118,0.13657603773401453
5,121,0.14027609573491553
5,123,0.3287660890138473
5,124,0.10651615891715147
5,125,0.3676661806109069
5,126,0.2210544515181764
5,130,0.20926957381586758
5,132,0.14784577398772025
5,134,0.18673618892054838
5,137,0.11637421600029231
5,141,0.11060009853034804
5,145,0.1744166615557491
5,147,0.3304354952006839
5,149,0.17326337668055822
5,154,0.3154343149463944
5,155,0.12693830561279154
5,159,0.2187764163690479
5,161,0.24705584376916173
5,162,0.3201300063729446
5,163,0.13796415717867022
5,164,0.4472759147588623
5,165,0.20989463797491037
5,166,0.4336860430460865
5,168,0.11047382756516844
5,169,0.20084207547102226
5,171,0.14578860650376482
5,172,0.17539585550446873
5,178,0.3801193228113059
5,180,0.16091475381423517
5,182,0.11185271177724193
5,184,0.2193165499030977
5,185,0.14176656124497755
5,188,0.18627505040450856
5,189,0.14033034948441073
5,190,0.21914125197338008
5,194,0.23896796876357196
6,7,0.24245468952426993
6,8,0.2170567673296083
6,11,0.2772159427375722
6,14,0.11557213327325433
6,15,0.13670410803004124
6,16,0.1537611198189293
6,17,0.11361995883460829
6,19,0.35250833851097463
6,22,0.44006967160981547
6,24,0.16293761532487336
6,26,0.48770783252603583
6,27,0.13608667399720803
6,28,0.12893510886896406
6,29,0.29669523297038125
6,31,0.23047746166040978
